Time,Value
276, 5062 
912, 4783 
1544, 5018 
2172, 5404 
2804, 4846 
3436, 4910 
4072, 4496 
4708, 4904 
5340, 4983 
5972, 4754 
6596, 4810 
7228, 4944 
7856, 4792 
8320, 4654 
9032, 4420 
9672, 4209 
10340, 5341 
10984, 4352 
11580, 4494 
12212, 4614 
12848, 5249 
13480, 4862 
14120, 4982 
14752, 5452 
15376, 5358 
16008, 4380 
16636, 5001 
17264, 4295 
17900, 3950 
18372, 4351 
19072, 4483 
21548, 1257 
22352, 1283 
22752, 1228 
23152, 1105 
23956, 990 
24760, 1662 
25160, 904 
25560, 1193 
25960, 938 
26364, 1084 
26772, 1002 
27180, 1204 
27584, 806 
27992, 1337 
28400, 1069 
28808, 1217 
29208, 1261 
29616, 1162 
30020, 1318 
30424, 1429 
30828, 1019 
31240, 1482 
31648, 786 
32056, 904 
32464, 1044 
32872, 1089 
33276, 1128 
33684, 1456 
34088, 1036 
34496, 1199 
34904, 1354 
35308, 1240 
35716, 1409 
36128, 1579 
36536, 1321 
36940, 1286 
37348, 1103 
37760, 1136 
38168, 1342 
38576, 1396 
38984, 1814 
39396, 1349 
