Time,Value
0,4500
4,4500
8,4500
12,4500
16,4500
20,4500
24,4500
28,4500
32,4500
36,4500
40,4500
44,4500
48,4500
52,4500
56,4500
60,4500
64,4500
68,4500
72,4500
76,4500
80,4500
84,4500
88,4500
92,4500
96,4500
100,4500
104,4500
108,4500
112,4500
116,4500
120,4500
124,4500
128,4500
132,4500
136,4500
140,4500
144,4500
148,4500
152,4500
156,4500
160,4500
164,4500
168,4500
172,4500
176,4500
180,4500
184,4500
188,4500
192,4500
196,4500
200,4500
204,4500
208,4500
212,4500
216,4500
220,4500
224,4500
228,4500
232,4500
236,4500
240,4500
244,4500
248,4500
252,4500
256,4500
260,4500
264,4500
268,4500
272,4500
276,4500
280,4678
284,4678
288,4678
292,4678
296,4678
300,4678
304,4678
308,4678
312,4712
316,4712
320,4712
324,4712
328,4712
332,4712
336,4712
340,4712
344,4712
348,4712
352,4712
356,4712
360,4712
364,4712
368,4712
372,4712
376,4712
380,4712
384,4712
388,4712
392,4712
396,4712
400,4712
404,4712
408,4712
412,4712
416,4712
420,4712
424,4712
428,4712
432,4712
436,4712
440,4712
444,4712
448,4712
452,4712
456,4712
460,4712
464,4712
468,4712
472,4712
476,4712
480,4712
484,4712
488,4712
492,4712
496,4712
500,4712
504,4712
508,4712
512,4712
516,4712
520,4712
524,4712
528,4712
532,4712
536,4712
540,4712
544,4712
548,4712
552,4712
556,4712
560,4712
564,4712
568,4712
572,4712
576,4712
580,4712
584,4712
588,4712
592,4712
596,4712
600,4712
604,4712
608,4712
612,4712
616,4712
620,4712
624,4712
628,4712
632,4712
636,4712
640,4712
644,4712
648,4712
652,4712
656,4712
660,4712
664,4712
668,4712
672,4712
676,4712
680,4712
684,4712
688,4712
692,4712
696,4712
700,4712
704,4712
708,4712
712,4712
716,4712
720,4712
724,4712
728,4712
732,4712
736,4712
740,4712
744,4712
748,4712
752,4712
756,4712
760,4712
764,4712
768,4712
772,4712
776,4712
780,4712
784,4712
788,4712
792,4712
796,4712
800,4712
804,4712
808,4712
812,4712
816,4712
820,4712
824,4712
828,4712
832,4712
836,4712
840,4712
844,4712
848,4712
852,4712
856,4712
860,4712
864,4712
868,4712
872,4712
876,4712
880,4712
884,4712
888,4712
892,4712
896,4712
900,4712
904,4712
908,4712
912,4712
916,4720
920,4720
924,4720
928,4720
932,4720
936,4720
940,4720
944,4720
948,4723
952,4723
956,4723
960,4723
964,4723
968,4723
972,4723
976,4723
980,4723
984,4723
988,4723
992,4723
996,4723
1000,4723
1004,4723
1008,4723
1012,4723
1016,4723
1020,4723
1024,4723
1028,4723
1032,4723
1036,4723
1040,4723
1044,4723
1048,4723
1052,4723
1056,4723
1060,4723
1064,4723
1068,4723
1072,4723
1076,4723
1080,4723
1084,4723
1088,4723
1092,4723
1096,4723
1100,4723
1104,4723
1108,4723
1112,4723
1116,4723
1120,4723
1124,4723
1128,4723
1132,4723
1136,4723
1140,4723
1144,4723
1148,4723
1152,4723
1156,4723
1160,4723
1164,4723
1168,4723
1172,4723
1176,4723
1180,4723
1184,4723
1188,4723
1192,4723
1196,4723
1200,4723
1204,4723
1208,4723
1212,4723
1216,4723
1220,4723
1224,4723
1228,4723
1232,4723
1236,4723
1240,4723
1244,4723
1248,4723
1252,4723
1256,4723
1260,4723
1264,4723
1268,4723
1272,4723
1276,4723
1280,4723
1284,4723
1288,4723
1292,4723
1296,4723
1300,4723
1304,4723
1308,4723
1312,4723
1316,4723
1320,4723
1324,4723
1328,4723
1332,4723
1336,4723
1340,4723
1344,4723
1348,4723
1352,4723
1356,4723
1360,4723
1364,4723
1368,4723
1372,4723
1376,4723
1380,4723
1384,4723
1388,4723
1392,4723
1396,4723
1400,4723
1404,4723
1408,4723
1412,4723
1416,4723
1420,4723
1424,4723
1428,4723
